PacketCounter	SampleTimeFine	Year	Month	Day	Second	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Vel_E	Vel_N	Vel_U
00127						0.134663	0.196314	-0.022080	0.002503	-0.002815	0.023095	-0.365962	-4.654057	93.683937	-0.174524	-0.048616	-0.013604
00128						0.110293	0.231812	-0.020817	-0.038125	-0.017250	0.000787	-0.397249	-4.666780	93.698654	-0.170857	-0.044078	-0.013864
00129						0.073735	0.172394	-0.019935	-0.046431	-0.026819	-0.025534	-0.453867	-4.694192	93.685844	-0.168401	-0.039824	-0.014235
00130						0.061415	0.028827	-0.091119	-0.030430	-0.041002	-0.044278	-0.503877	-4.737222	93.645088	-0.166127	-0.037749	-0.015493
00132						0.050609	-0.054700	-0.084108	0.005273	-0.051200	-0.060870	-0.517043	-4.792405	93.585747	-0.163898	-0.038396	-0.017577
00133						0.103841	-0.074156	-0.044195	0.008982	-0.050947	-0.067613	-0.506674	-4.851113	93.514053	-0.161176	-0.039880	-0.018850
00134						0.165779	-0.094734	0.037780	-0.014576	-0.037386	-0.084203	-0.507814	-4.902972	93.426163	-0.157678	-0.041545	-0.018782
00135						0.206462	-0.098590	0.075596	-0.082000	-0.022140	-0.098140	-0.562931	-4.936368	93.319847	-0.153142	-0.043360	-0.017184
00136						0.061950	-0.084174	0.009165	-0.132771	-0.001873	-0.108669	-0.689747	-4.949172	93.199966	-0.149270	-0.045519	-0.016381
00137						-0.241946	-0.047959	0.050324	-0.104105	0.008010	-0.121086	-0.828664	-4.947918	93.067131	-0.150768	-0.046365	-0.015993
00138						-0.026238	0.023687	0.117803	-0.064777	0.029115	-0.132973	-0.906282	-4.928764	92.920639	-0.153306	-0.046362	-0.013817
00139						0.023998	0.067918	0.068842	-0.109197	0.038058	-0.137552	-1.003003	-4.893234	92.763580	-0.151632	-0.045103	-0.012215
00140						-0.180800	0.118568	-0.047206	-0.104479	0.037151	-0.139266	-1.130157	-4.851543	92.603348	-0.152823	-0.042749	-0.012287
00141						-0.250914	0.108007	-0.048318	-0.032197	0.031240	-0.129872	-1.198989	-4.816607	92.449936	-0.156960	-0.040564	-0.013165
00142						-0.189415	0.200859	0.037197	-0.001834	0.023646	-0.123661	-1.209070	-4.788911	92.305534	-0.160551	-0.036804	-0.013694
00143						-0.185463	0.291608	0.104640	-0.016195	0.027785	-0.125908	-1.214849	-4.761299	92.161819	-0.163330	-0.031243	-0.012203
00145						-0.226770	0.360014	0.171894	-0.025435	0.033479	-0.126518	-1.235104	-4.727801	92.017181	-0.166635	-0.024513	-0.009161
00146						-0.209704	0.494604	0.204070	-0.023609	0.045233	-0.134184	-1.254477	-4.686022	91.865776	-0.172059	-0.012482	-0.003545
00147						-0.045107	0.415343	0.190639	-0.045012	0.050268	-0.127915	-1.289055	-4.633543	91.712547	-0.173678	-0.003451	0.000546
00148						0.144351	0.420628	0.046397	-0.080457	0.046211	-0.101417	-1.361786	-4.577216	91.578239	-0.171052	0.004566	0.002887
00149						-0.003676	0.489863	-0.116108	-0.106342	0.029834	-0.074856	-1.480400	-4.533827	91.476898	-0.168203	0.013616	0.001670
00150						-0.247047	0.572563	-0.273663	-0.044398	-0.002989	-0.044882	-1.570413	-4.522405	91.412155	-0.170142	0.024719	-0.003011
00151						-0.328653	0.601811	-0.288792	0.052065	-0.030676	-0.031222	-1.561275	-4.545557	91.371315	-0.175377	0.036247	-0.008985
00152						-0.261156	0.468022	-0.209506	0.102564	-0.048909	-0.023035	-1.469490	-4.595262	91.342163	-0.179768	0.046275	-0.014021
00153						-0.172264	0.391420	-0.126675	0.114536	-0.033443	-0.018287	-1.347070	-4.641055	91.318436	-0.182900	0.055023	-0.017274
00154						0.023458	0.350797	-0.181361	0.075281	-0.012332	-0.012519	-1.241299	-4.663869	91.303314	-0.182799	0.062500	-0.020278
00155						0.005856	0.289955	-0.202304	0.052268	0.011427	-0.001281	-1.183115	-4.662444	91.298164	-0.181212	0.068538	-0.024550
00156						0.033523	0.308456	-0.258273	0.057640	0.025076	0.011179	-1.128174	-4.638506	91.307724	-0.180079	0.074341	-0.029375
00157						0.042255	0.233364	-0.268122	0.079147	0.038449	0.017554	-1.057128	-4.597521	91.321587	-0.178342	0.079776	-0.034707
00159						-0.008945	0.107805	-0.297375	0.092608	0.050391	0.016588	-0.966055	-4.545465	91.332130	-0.175896	0.084829	-0.042590
00160						0.163287	-0.016638	-0.204920	0.082233	0.062614	0.013791	-0.866407	-4.480549	91.332664	-0.172846	0.084713	-0.047014
00161						0.241208	-0.013389	-0.124660	-0.011396	0.077815	-0.001813	-0.833879	-4.398283	91.320320	-0.167048	0.083998	-0.050066
00162						0.090637	-0.113235	-0.062471	-0.094187	0.087509	-0.029216	-0.911637	-4.300174	91.279907	-0.162175	0.082805	-0.051935
00163						0.066454	-0.318036	-0.110959	-0.124833	0.099429	-0.052179	-1.047572	-4.191210	91.209564	-0.158791	0.077779	-0.053666
00164						0.037538	-0.484670	-0.076680	-0.122814	0.105122	-0.064094	-1.193790	-4.074386	91.122574	-0.156338	0.069120	-0.055584
